Period,Index,Corr,P Value
1,1-Target~smart_5_raw_diff,0.5381470581458968,0.0
1,2-Target~smart_187_raw_diff,0.1003826520588695,0.0
1,3-Target~smart_5_raw,0.3877405689654214,0.0
1,4-Target~smart_187_raw,0.16395612674729998,0.0
1,5-Target~smart_197_raw,0.14646383463424936,0.0
1,6-Target~smart_197_raw_diff,0.0806096128725007,0.0
1,7-Target~smart_193_raw,0.03593474682217987,1.0843570143893324e-125
1,8-Target~smart_9_raw,0.04241806981172851,2.1897013709888735e-174
1,9-Target~smart_4_raw,0.03475833824166428,1.0172447091720989e-117
1,10-Target~smart_12_raw,0.03500566101267677,2.2562009101481184e-119
2,1-Target~smart_5_raw_diff,0.5569934764957192,0.0
2,2-Target~smart_187_raw_diff,0.19864206388137692,0.0
2,3-Target~smart_5_raw,0.3518557290422413,0.0
2,4-Target~smart_187_raw,0.17649439787068252,0.0
2,5-Target~smart_197_raw,0.12322115317941912,0.0
2,6-Target~smart_197_raw_diff,0.11125049177753717,0.0
2,7-Target~smart_193_raw,0.02954385674852731,1.7495015319202693e-85
2,8-Target~smart_9_raw,0.03533011152737515,1.951938901960644e-121
2,9-Target~smart_4_raw,0.028706083997789688,8.283739197963842e-81
2,10-Target~smart_12_raw,0.028888449576392423,8.164289864734315e-82
3,1-Target~smart_5_raw_diff,0.5688148717518671,0.0
3,2-Target~smart_187_raw_diff,0.16826094504829262,0.0
3,3-Target~smart_5_raw,0.3537260294724489,0.0
3,4-Target~smart_187_raw,0.16210947464807954,0.0
3,5-Target~smart_197_raw,0.1159078279417414,0.0
3,6-Target~smart_197_raw_diff,0.10493251566963611,0.0
3,7-Target~smart_193_raw,0.026928610213698304,1.179867437235417e-81
3,8-Target~smart_9_raw,0.04154789716841838,9.41142262906375e-192
3,9-Target~smart_4_raw,0.03547762923177024,2.4594096230282012e-140
3,10-Target~smart_12_raw,0.03576941115194408,1.2727990259378841e-142
4,1-Target~smart_5_raw_diff,0.5127630020622758,0.0
4,2-Target~smart_187_raw_diff,0.045767829541424075,6.828017662338858e-238
4,3-Target~smart_5_raw,0.26769785071467467,0.0
4,4-Target~smart_187_raw,0.07211049442274466,0.0
4,5-Target~smart_197_raw,0.04495718178253603,1.320428165973829e-229
4,6-Target~smart_197_raw_diff,0.018335478134654797,1.0181194903649814e-39
4,7-Target~smart_193_raw,0.014877551747795953,1.0049292572612566e-26
4,8-Target~smart_9_raw,0.027842759322014198,3.040176293506208e-89
4,9-Target~smart_4_raw,0.025234411352957543,1.2250532056256536e-73
4,10-Target~smart_12_raw,0.025390084247792627,1.583625334603802e-74
5,1-Target~smart_5_raw_diff,0.5191544608344155,0.0
5,2-Target~smart_187_raw_diff,-0.00029618226482903346,0.8203414303861134
5,3-Target~smart_5_raw,0.2675136717655635,0.0
5,4-Target~smart_187_raw,0.08692907579966953,0.0
5,5-Target~smart_197_raw,0.03548542770213792,3.977953706183282e-163
5,6-Target~smart_197_raw_diff,0.037891206316224994,1.0075911979797255e-185
5,7-Target~smart_193_raw,0.017879927301897226,8.722399124124855e-43
5,8-Target~smart_9_raw,0.027685669124361295,4.753012046231551e-100
5,9-Target~smart_4_raw,0.02360864409844481,2.905007293771464e-73
5,10-Target~smart_12_raw,0.024209992937116672,6.0105271336899726e-77
6,1-Target~smart_5_raw_diff,0.5768936494154383,0.0
6,2-Target~smart_187_raw_diff,0.07698766518391761,0.0
6,3-Target~smart_5_raw,0.2750386545902106,0.0
6,4-Target~smart_187_raw,0.07604310036484194,0.0
6,5-Target~smart_197_raw,0.03754582590643961,2.688596448666647e-187
6,6-Target~smart_197_raw_diff,0.03296016684847177,8.727631509529624e-145
6,7-Target~smart_193_raw,0.01968993224245153,7.255900835238692e-53
6,8-Target~smart_9_raw,0.020193699029424087,1.635874359819647e-55
6,9-Target~smart_4_raw,0.013358193996976374,3.0034810864745647e-25
6,10-Target~smart_12_raw,0.013965680961359594,1.91133956362208e-27
7,1-Target~smart_5_raw_diff,0.6348276119611022,0.0
7,2-Target~smart_187_raw_diff,0.0599318185421719,0.0
7,3-Target~smart_5_raw,0.2811613572851185,0.0
7,4-Target~smart_187_raw,0.08851812781097737,0.0
7,5-Target~smart_197_raw,0.042770122608444365,8.310578050944578e-257
7,6-Target~smart_197_raw_diff,0.03649969133115924,1.490768579165677e-187
7,7-Target~smart_193_raw,0.020596291111503493,5.236469710780564e-61
7,8-Target~smart_9_raw,0.025508318471811817,1.3731282018625097e-92
7,9-Target~smart_4_raw,0.019132376989763243,6.861061800901791e-53
7,10-Target~smart_12_raw,0.019885124385031993,5.452907940269661e-57
8,1-Target~smart_5_raw_diff,0.6111255401058818,0.0
8,2-Target~smart_187_raw_diff,-0.0003713626121624947,0.7595923032991245
8,3-Target~smart_5_raw,0.30573723734955477,0.0
8,4-Target~smart_187_raw,0.07818522640199828,0.0
8,5-Target~smart_197_raw,0.0579062971540961,0.0
8,6-Target~smart_197_raw_diff,0.03112121825676667,4.09756748739866e-145
8,7-Target~smart_193_raw,0.01430544419928503,4.4581829438213616e-32
8,8-Target~smart_9_raw,0.022313421837971262,1.598721008077968e-75
8,9-Target~smart_4_raw,0.015588676125692631,9.009243330965646e-38
8,10-Target~smart_12_raw,0.016742054088631622,2.655928606695347e-43
9,1-Target~smart_5_raw_diff,0.7476408052532119,0.0
9,2-Target~smart_187_raw_diff,0.009442095394345248,3.653023196503775e-15
9,3-Target~smart_5_raw,0.3035893044292456,0.0
9,4-Target~smart_187_raw,0.08922648409082823,0.0
9,5-Target~smart_197_raw,0.05040027449122353,0.0
9,6-Target~smart_197_raw_diff,0.04894207018040877,0.0
9,7-Target~smart_193_raw,0.0032372309352824724,0.00699855821723369
9,8-Target~smart_9_raw,0.028004641130286306,1.9585022042077305e-120
9,9-Target~smart_4_raw,0.022492406837876434,2.3110670843638117e-78
9,10-Target~smart_12_raw,0.023311633165484517,4.900162254662056e-84
10,1-Target~smart_5_raw_diff,0.4968369145361588,0.0
10,2-Target~smart_187_raw_diff,0.011924237689621345,1.0974024505645855e-20
10,3-Target~smart_5_raw,0.22562056694368215,0.0
10,4-Target~smart_187_raw,0.05855374022211945,0.0
10,5-Target~smart_197_raw,0.03647604367152456,4.054775672769726e-179
10,6-Target~smart_197_raw_diff,0.052531299071965264,0.0
10,7-Target~smart_193_raw,4.853714218126373e-05,0.969719127602354
10,8-Target~smart_9_raw,0.011360305674821618,6.386185547121452e-19
10,9-Target~smart_4_raw,0.007100362789615379,2.804640398254274e-08
10,10-Target~smart_12_raw,0.00807284215989065,2.722368620667312e-10
11,1-Target~smart_5_raw_diff,0.6271821510752221,0.0
11,2-Target~smart_187_raw_diff,0.06996049002197655,0.0
11,3-Target~smart_5_raw,0.20667146941358358,0.0
11,4-Target~smart_187_raw,0.06943468380210917,0.0
11,5-Target~smart_197_raw,0.09508147132435378,0.0
11,6-Target~smart_197_raw_diff,0.08448519748103764,0.0
11,7-Target~smart_193_raw,-0.0048289262338902265,1.776727754979394e-05
11,8-Target~smart_9_raw,0.01059578904170836,4.676895627278283e-21
11,9-Target~smart_4_raw,0.007030815045723077,4.157263134824432e-10
11,10-Target~smart_12_raw,0.007957300924032712,1.53420899276206e-12
12,1-Target~smart_5_raw_diff,0.6232672319230567,0.0
12,2-Target~smart_187_raw_diff,-0.00017795178459273974,0.8971295692809955
12,3-Target~smart_5_raw,0.21977876395014984,0.0
12,4-Target~smart_187_raw,0.0699993643280354,0.0
12,5-Target~smart_197_raw,0.1259782424148681,0.0
12,6-Target~smart_197_raw_diff,0.08825837714419844,0.0
12,7-Target~smart_193_raw,0.0002484627341586161,0.856746754543116
12,8-Target~smart_9_raw,0.010634860458367269,1.1026664106930895e-14
12,9-Target~smart_4_raw,0.008587248463886156,4.402252690990442e-10
12,10-Target~smart_12_raw,0.009376604506895557,9.586128586686604e-12
